Site,Longitude,Latitude,Collection_Date,Sample_No,Per_Carbon_Factored,Per_Nitrogen_Factored,CN_Ratio,carbon_mol,nitrogen_mol,ratio_mol
Sawtell,153.108782,-30.375104,10/02/2023,1,31.38,1.14,27.53,2.612822648,0.08137045,32.11021517
Sawtell,153.108782,-30.375104,10/02/2023,2,32.15,1.13,28.45,2.676935887,0.080656674,33.18926706
Sawtell,153.108782,-30.375104,10/02/2023,3,30.62,1.16,26.4,2.549542048,0.082798001,30.79231388
Sawtell,153.108782,-30.375104,10/02/2023,4,31.77,1.27,25.02,2.645295587,0.090649536,29.18156785
Sawtell,153.108782,-30.375104,10/02/2023,5,32.31,1.21,26.7,2.690258118,0.086366881,31.14918697
Forster,152.521732,-32.179135,19/02/2023,1,32.78,1.03,31.83,2.729392173,0.073518915,37.12503335
Forster,152.521732,-32.179135,19/02/2023,2,29.84,1.23,24.26,2.48459617,0.087794433,28.30015637
Forster,152.521732,-32.179135,19/02/2023,3,29.8,1.17,25.47,2.481265612,0.083511777,29.71156515
Forster,152.521732,-32.179135,19/02/2023,4,31.19,1.31,23.81,2.597002498,0.09350464,27.77404962
Forster,152.521732,-32.179135,19/02/2023,5,29.24,1.2,24.37,2.434637802,0.085653105,28.42439634
Shellharbour,150.885944,-34.593712,21/02/2023,1,26.32,1.3,20.25,2.191507077,0.092790864,23.6177032
Shellharbour,150.885944,-34.593712,21/02/2023,2,29.21,1.38,21.17,2.432139883,0.098501071,24.69150708
Shellharbour,150.885944,-34.593712,21/02/2023,3,29.3,1.3,22.54,2.439633639,0.092790864,26.29174406
Shellharbour,150.885944,-34.593712,21/02/2023,4,29.91,1.49,20.07,2.490424646,0.106352605,23.41667738
Shellharbour,150.885944,-34.593712,21/02/2023,5,29.84,1.17,25.5,2.48459617,0.083511777,29.75144644
Merimbula,149.927413,-36.899308,6/03/2023,1,26.79,1.34,19.99,2.230641132,0.095645967,23.32185244
Merimbula,149.927413,-36.899308,6/03/2023,2,28.61,1.59,17.99,2.382181515,0.113490364,20.99016543
Merimbula,149.927413,-36.899308,6/03/2023,3,25.97,1.62,16.03,2.162364696,0.115631692,18.70045024
Merimbula,149.927413,-36.899308,6/03/2023,4,24.74,1.46,16.95,2.059950042,0.104211278,19.76705485
Merimbula,149.927413,-36.899308,6/03/2023,5,25.39,1.43,17.76,2.114071607,0.10206995,20.71198826
Fortescue,147.967609,-43.139916,23/03/2023,1,28.01,1.41,19.87,2.332223147,0.100642398,23.17336617
Fortescue,147.967609,-43.139916,23/03/2023,2,31.62,1.07,29.55,2.632805995,0.076374019,34.47253457
Fortescue,147.967609,-43.139916,23/03/2023,3,29.37,1.12,26.22,2.445462115,0.079942898,30.59011092
Fortescue,147.967609,-43.139916,23/03/2023,4,24.61,1.33,18.5,2.049125729,0.094932191,21.58515147
Fortescue,147.967609,-43.139916,23/03/2023,5,30.25,1.16,26.08,2.518734388,0.082798001,30.4202317
